[INFO ] [2022-11-15 17:12:20,406] Register - Step 01: Click to Register link
[INFO ] [2022-11-15 17:12:21,148] Register - Step 02: Input FirstName to required field 'Thanh'
[INFO ] [2022-11-15 17:12:21,333] Register - Step 03: Input LastName to required field 'Nguyen'
[INFO ] [2022-11-15 17:12:21,510] Register - Step 04: Input Email to required field 'abc4190@mail.com'
[INFO ] [2022-11-15 17:12:21,697] Register - Step 05: Input Password to required field '123456'
[INFO ] [2022-11-15 17:12:21,875] Register - Step 06: Input Confirm Password to required field '123456'
[INFO ] [2022-11-15 17:12:22,049] Register - Step 07: Click to Register Button
[INFO ] [2022-11-15 17:12:23,459] Register - Step 08: Verify Register Success Message
[INFO ] [2022-11-15 17:12:23,538] Register - Step 09: Click to Logout Button
[INFO ] [2022-11-15 17:23:21,480] Register - Step 01: Click to Register link
[INFO ] [2022-11-15 17:23:22,201] Register - Step 02: Input FirstName to required field 'Thanh'
[INFO ] [2022-11-15 17:23:22,307] Register - Step 03: Input LastName to required field 'Nguyen'
[INFO ] [2022-11-15 17:23:22,364] Register - Step 04: Input Email to required field 'abc6275@mail.com'
[INFO ] [2022-11-15 17:23:22,705] Register - Step 05: Input Password to required field '123456'
[INFO ] [2022-11-15 17:23:22,755] Register - Step 06: Input Confirm Password to required field '123456'
[INFO ] [2022-11-15 17:23:22,807] Register - Step 07: Click to Register Button
[INFO ] [2022-11-15 17:23:23,952] Register - Step 08: Verify Register Success Message
[INFO ] [2022-11-15 17:23:23,991] Register - Step 09: Click to Logout Button
[INFO ] [2022-11-15 17:23:24,726] Login - Step 01: Navigate to Login Button
[INFO ] [2022-11-15 17:23:27,921] Login - Step 02: Input Not Found Email to Email Textbox 'abc6275@mail.com'
[INFO ] [2022-11-15 17:23:27,977] Login - Step 03:  Input Password TextBox '123456'
[INFO ] [2022-11-15 17:23:28,033] Login - Step 04:  Click to Login Button
[INFO ] [2022-11-15 17:23:28,693] Login - Step 05:  Verify Login Success
[INFO ] [2022-11-15 17:23:28,805] Login - Step 06: Navigate to MyAccoutLink
[INFO ] [2022-11-15 17:23:30,756] Login - Step 07: Verify Login Success
[INFO ] [2022-11-15 17:23:57,572] Register - Step 01: Click to Register link
[INFO ] [2022-11-15 17:23:59,277] Register - Step 02: Input FirstName to required field 'Thanh'
[INFO ] [2022-11-15 17:23:59,470] Register - Step 03: Input LastName to required field 'Nguyen'
[INFO ] [2022-11-15 17:23:59,654] Register - Step 04: Input Email to required field 'abc4651@mail.com'
[INFO ] [2022-11-15 17:23:59,900] Register - Step 05: Input Password to required field '123456'
[INFO ] [2022-11-15 17:24:00,106] Register - Step 06: Input Confirm Password to required field '123456'
[INFO ] [2022-11-15 17:24:00,311] Register - Step 07: Click to Register Button
[INFO ] [2022-11-15 17:24:02,526] Register - Step 08: Verify Register Success Message
[INFO ] [2022-11-15 17:24:02,615] Register - Step 09: Click to Logout Button
[INFO ] [2022-11-15 17:24:03,411] Login - Step 01: Navigate to Login Button
[INFO ] [2022-11-15 17:24:04,485] Login - Step 02: Input Not Found Email to Email Textbox 'abc4651@mail.com'
[INFO ] [2022-11-15 17:24:04,730] Login - Step 03:  Input Password TextBox '123456'
[INFO ] [2022-11-15 17:24:04,939] Login - Step 04:  Click to Login Button
[INFO ] [2022-11-15 17:24:05,743] Login - Step 05:  Verify Login Success
[INFO ] [2022-11-15 17:24:05,933] Login - Step 06: Navigate to MyAccoutLink
[INFO ] [2022-11-15 17:24:07,979] Login - Step 07: Verify Login Success
[INFO ] [2022-11-16 14:47:56,426] Register - Step 01: Click to Register link
[INFO ] [2022-11-16 14:47:57,465] Register - Step 02: Input FirstName to required field 'Thanh'
[INFO ] [2022-11-16 14:47:57,708] Register - Step 03: Input LastName to required field 'Nguyen'
[INFO ] [2022-11-16 14:47:57,935] Register - Step 04: Input Email to required field 'abc9403@mail.com'
[INFO ] [2022-11-16 14:47:58,183] Register - Step 05: Input Password to required field '123456'
[INFO ] [2022-11-16 14:47:58,400] Register - Step 06: Input Confirm Password to required field '123456'
[INFO ] [2022-11-16 14:47:58,612] Register - Step 07: Click to Register Button
[INFO ] [2022-11-16 14:47:59,965] Register - Step 08: Verify Register Success Message
[INFO ] [2022-11-16 14:48:00,046] Register - Step 09: Click to Logout Button
[INFO ] [2022-11-16 14:48:01,255] Login - Step 01: Navigate to Login Button
[INFO ] [2022-11-16 14:48:01,976] Login - Step 02: Input Not Found Email to Email Textbox 'abc9403@mail.com'
[INFO ] [2022-11-16 14:48:02,222] Login - Step 03:  Input Password TextBox '123456'
[INFO ] [2022-11-16 14:48:02,406] Login - Step 04:  Click to Login Button
[INFO ] [2022-11-16 14:48:03,364] Login - Step 05:  Verify Login Success
[INFO ] [2022-11-16 14:48:03,557] Login - Step 06: Navigate to MyAccoutLink
[INFO ] [2022-11-16 14:48:04,367] Login - Step 07: Verify Login Success
[INFO ] [2022-11-16 14:53:23,143] Register - Step 01: Click to Register link
[INFO ] [2022-11-16 14:53:24,008] Register - Step 02: Input FirstName to required field 'Thanh'
[INFO ] [2022-11-16 14:53:24,228] Register - Step 03: Input LastName to required field 'Nguyen'
[INFO ] [2022-11-16 14:53:24,461] Register - Step 04: Input Email to required field 'abc2903@mail.com'
[INFO ] [2022-11-16 14:53:24,718] Register - Step 05: Input Password to required field '123456'
[INFO ] [2022-11-16 14:53:24,935] Register - Step 06: Input Confirm Password to required field '123456'
[INFO ] [2022-11-16 14:53:25,150] Register - Step 07: Click to Register Button
[INFO ] [2022-11-16 14:53:26,808] Register - Step 08: Verify Register Success Message
[INFO ] [2022-11-16 14:53:26,901] Register - Step 09: Click to Logout Button
[INFO ] [2022-11-16 14:53:27,763] Login - Step 01: Navigate to Login Button
[INFO ] [2022-11-16 14:53:28,578] Login - Step 02: Input Not Found Email to Email Textbox 'abc2903@mail.com'
[INFO ] [2022-11-16 14:53:28,786] Login - Step 03:  Input Password TextBox '123456'
[INFO ] [2022-11-16 14:53:28,986] Login - Step 04:  Click to Login Button
[INFO ] [2022-11-16 14:53:29,755] Login - Step 05:  Verify Login Success
[INFO ] [2022-11-16 14:53:29,954] Login - Step 06: Navigate to MyAccoutLink
[INFO ] [2022-11-16 14:53:30,789] Login - Step 07: Verify Login Success
[INFO ] [2022-11-16 14:56:25,966] Register - Step 01: Click to Register link
[INFO ] [2022-11-16 14:56:26,654] Register - Step 02: Input FirstName to required field 'Thanh'
[INFO ] [2022-11-16 14:56:26,892] Register - Step 03: Input LastName to required field 'Nguyen'
[INFO ] [2022-11-16 14:56:27,125] Register - Step 04: Input Email to required field 'abc9413@mail.com'
